Rank,Zip Code,Population
"1,157",90010,"4,313"
"1,158",92003,"4,299"
"1,159",94304,"4,295"
"1,160",93581,"4,284"
"1,161",95004,"4,280"
"1,162",95627,"4,214"
"1,163",92121,"4,213"
"1,164",94129,"4,199"
"1,165",95917,"4,162"
"1,166",96055,"4,149"
"1,167",95365,"4,146"
"1,168",95258,"4,108"
"1,169",95237,"4,099"
"1,170",93675,"4,062"
"1,171",92179,"4,061"
"1,172",95045,"4,032"
"1,173 TIE",96122,"4,030"
"1,173 TIE",95938,"4,030"
"1,175",95383,"4,022"
"1,176",95634,"4,001"
"1,177",90704,"3,940"
"1,178",95379,"3,924"
"1,179",95321,"3,922"
"1,180",93523,"3,876"
"1,181",96041,"3,873"
"1,182",93660,"3,826"
"1,183",94508,"3,680"
"1,184",94535,"3,663"
"1,185",90058,"3,659"
"1,186",93437,"3,638"
"1,187",94018,"3,636"
"1,188",95053,"3,627"
"1,189",93953,"3,619"
"1,190",95247,"3,594"
"1,191",95328,"3,585"
"1,192",95461,"3,551"
"1,193",90089,"3,498"
"1,194",96143,"3,480"
"1,195",94525,"3,434"
"1,196",94599,"3,421"
"1,197",95633,"3,408"
"1,198",95562,"3,395"
"1,199",94951,"3,393"
